exit_id,employee_id,exit_date,exit_type,exit_reason,notice_period_days,eligible_for_rehire
1,103,2025-02-03,Resignation,Performance Issues,15,Yes
2,2772,2025-11-18,Termination,End of Contract,0,Yes
3,384,2025-12-21,Resignation,Retirement,15,Yes
4,815,2024-06-17,Resignation,End of Contract,60,Yes
5,27,2025-05-20,Resignation,Relocation,60,Yes
6,1379,2025-05-14,Resignation,Higher Education,0,Yes
7,1409,2025-10-14,Resignation,Performance Issues,0,Yes
8,1551,2024-01-21,Resignation,Higher Education,90,Yes
9,1482,2024-06-08,Resignation,Retirement,0,Yes
10,1186,2024-10-12,Resignation,Higher Education,15,No
11,1858,2024-08-15,Resignation,Personal Reasons,15,Yes
12,1094,2025-03-02,Resignation,Higher Education,90,Yes
13,1003,2025-02-14,Resignation,Relocation,60,Yes
14,2622,2024-09-10,Contract End,End of Contract,15,Yes
15,230,2025-07-17,Termination,Retirement,0,No
16,272,2025-12-06,Resignation,Retirement,90,No
17,2685,2025-09-17,Resignation,Company Restructuring,60,No
18,586,2024-04-19,Resignation,Performance Issues,15,Yes
19,1077,2025-01-31,Resignation,Health Issues,90,Yes
20,567,2025-10-17,Resignation,End of Contract,60,Yes
21,450,2024-09-22,Resignation,Relocation,15,Yes
22,261,2025-09-23,Resignation,Health Issues,60,Yes
23,1030,2025-03-10,Resignation,End of Contract,0,Yes
24,2200,2024-04-27,Resignation,Performance Issues,30,Yes
25,1859,2024-06-11,Resignation,Better Career Opportunity,30,No
26,2080,2024-02-04,Termination,Higher Education,30,No
27,815,2024-06-16,Resignation,Relocation,30,Yes
28,2173,2024-07-07,Resignation,Better Career Opportunity,90,Yes
29,1487,2025-11-15,Resignation,Performance Issues,15,Yes
30,323,2024-09-25,Retirement,Higher Education,60,No
31,2182,2025-02-24,Contract End,Relocation,15,Yes
32,677,2025-09-28,Retirement,Performance Issues,90,No
33,868,2024-02-20,Resignation,End of Contract,15,Yes
34,2752,2024-04-30,Resignation,Personal Reasons,60,No
35,1016,2025-07-24,Resignation,Retirement,0,Yes
36,943,2024-01-03,Resignation,Retirement,0,Yes
37,938,2024-07-14,Resignation,Higher Education,0,No
38,975,2024-03-17,Resignation,Performance Issues,60,Yes
39,2339,2025-07-05,Resignation,Company Restructuring,15,Yes
40,780,2024-10-20,Termination,Higher Education,0,Yes
41,1684,2025-08-16,Resignation,Company Restructuring,0,Yes
42,404,2024-11-04,Contract End,Better Career Opportunity,60,Yes
43,448,2024-05-23,Termination,Retirement,15,Yes
44,1729,2024-01-23,Resignation,Relocation,30,Yes
45,309,2024-08-31,Retirement,Company Restructuring,90,Yes
46,2215,2025-05-31,Resignation,Better Career Opportunity,0,No
47,682,2024-05-25,Termination,Health Issues,60,Yes
48,241,2024-10-04,Retirement,Relocation,60,Yes
49,1864,2024-03-28,Resignation,Performance Issues,60,Yes
50,2277,2025-11-01,Termination,Company Restructuring,15,Yes
51,240,2024-04-05,Resignation,End of Contract,0,Yes
52,2393,2025-02-17,Resignation,Company Restructuring,90,No
53,233,2024-01-29,Resignation,End of Contract,0,No
54,279,2024-08-12,Resignation,Retirement,60,Yes
55,1009,2024-12-09,Retirement,Better Career Opportunity,90,Yes
56,2316,2024-09-15,Resignation,End of Contract,30,No
57,2934,2025-02-05,Resignation,Personal Reasons,15,Yes
58,2644,2024-06-26,Resignation,Performance Issues,60,Yes
59,298,2025-02-23,Termination,Better Career Opportunity,60,Yes
60,410,2025-06-03,Resignation,Higher Education,90,Yes
61,1430,2024-05-07,Resignation,Higher Education,15,Yes
62,2226,2024-11-21,Resignation,Performance Issues,90,No
63,2167,2025-02-10,Termination,Better Career Opportunity,90,Yes
64,551,2025-01-24,Resignation,Performance Issues,0,No
65,637,2025-09-28,Termination,Performance Issues,30,Yes
66,834,2024-01-29,Termination,Performance Issues,90,Yes
67,209,2025-11-22,Retirement,Higher Education,60,No
68,1367,2024-06-12,Resignation,Relocation,30,Yes
69,2891,2024-04-09,Resignation,Health Issues,90,Yes
70,2831,2024-12-10,Resignation,Relocation,90,Yes
71,2264,2024-07-10,Resignation,Relocation,60,Yes
72,164,2025-11-04,Resignation,Personal Reasons,15,Yes
73,1449,2024-03-14,Resignation,End of Contract,60,No
74,970,2024-10-25,Termination,Relocation,15,No
75,1361,2024-07-17,Resignation,Health Issues,15,Yes
76,443,2024-10-26,Termination,Health Issues,0,No
77,1886,2025-03-31,Resignation,Personal Reasons,30,No
78,914,2025-12-01,Retirement,Better Career Opportunity,15,Yes
79,285,2024-07-28,Resignation,Performance Issues,30,Yes
80,2197,2025-09-04,Resignation,Personal Reasons,0,Yes
81,732,2024-09-09,Contract End,Performance Issues,0,Yes
82,2985,2025-06-17,Resignation,Personal Reasons,60,Yes
83,1578,2024-04-12,Resignation,Retirement,30,Yes
84,2130,2025-07-07,Resignation,End of Contract,15,Yes
85,2721,2025-05-05,Resignation,Personal Reasons,90,Yes
86,2949,2024-12-24,Termination,Performance Issues,90,Yes
87,1649,2024-12-10,Resignation,Performance Issues,90,Yes
88,1553,2025-03-06,Resignation,Relocation,90,Yes
89,2,2024-07-27,Resignation,Performance Issues,30,Yes
90,2485,2024-07-17,Termination,Personal Reasons,60,Yes
91,2094,2025-04-15,Resignation,Company Restructuring,15,Yes
92,2720,2025-05-16,Resignation,Personal Reasons,0,No
93,2756,2025-12-17,Termination,Performance Issues,15,No
94,190,2025-08-25,Resignation,Retirement,60,Yes
95,1866,2024-07-14,Termination,Health Issues,90,Yes
96,2025,2025-11-19,Resignation,Health Issues,15,Yes
97,437,2025-10-02,Resignation,Health Issues,15,Yes
98,2122,2025-01-06,Contract End,Company Restructuring,0,Yes
99,498,2024-10-08,Retirement,Company Restructuring,15,No
100,2290,2025-05-23,Resignation,Personal Reasons,60,Yes
101,2068,2024-05-22,Termination,Health Issues,90,Yes
102,1945,2024-12-09,Resignation,Company Restructuring,30,Yes
103,1136,2025-03-06,Termination,End of Contract,60,Yes
104,318,2024-12-25,Resignation,Performance Issues,15,Yes
105,2213,2025-02-28,Resignation,Higher Education,15,Yes
106,626,2025-07-27,Resignation,Retirement,0,Yes
107,1909,2025-11-02,Resignation,Health Issues,0,Yes
108,2393,2025-05-29,Resignation,Better Career Opportunity,90,Yes
109,1441,2024-02-25,Resignation,Performance Issues,60,No
110,1717,2025-05-30,Contract End,End of Contract,90,Yes
111,2000,2025-09-24,Retirement,Retirement,30,Yes
112,1377,2024-07-22,Resignation,Health Issues,15,No
113,2549,2025-12-30,Retirement,End of Contract,0,No
114,2716,2024-11-09,Resignation,Better Career Opportunity,0,Yes
115,1892,2024-07-24,Resignation,Relocation,0,Yes
116,1863,2025-05-10,Resignation,Personal Reasons,30,Yes
117,1727,2025-09-26,Resignation,Performance Issues,0,Yes
118,214,2025-11-24,Termination,Personal Reasons,15,Yes
119,2670,2024-01-16,Termination,Better Career Opportunity,0,No
120,84,2025-09-09,Resignation,Relocation,15,Yes
121,2311,2024-03-21,Resignation,Retirement,60,Yes
122,688,2024-09-28,Termination,Higher Education,15,No
123,106,2024-10-04,Resignation,Performance Issues,90,Yes
124,1625,2025-06-24,Contract End,Retirement,0,Yes
125,995,2024-07-27,Termination,Higher Education,30,No
126,496,2024-06-18,Resignation,Better Career Opportunity,30,Yes
127,283,2024-03-16,Resignation,End of Contract,30,Yes
128,2008,2025-03-19,Resignation,Higher Education,60,No
129,1884,2025-02-05,Resignation,Relocation,60,Yes
130,2665,2025-11-15,Resignation,Performance Issues,90,No
131,1981,2025-11-23,Resignation,Company Restructuring,60,No
132,1321,2025-08-16,Resignation,Retirement,0,Yes
133,1904,2025-10-23,Resignation,Health Issues,30,Yes
134,745,2024-06-30,Retirement,Company Restructuring,15,Yes
135,1146,2024-06-30,Resignation,Performance Issues,90,Yes
136,351,2025-06-13,Retirement,Retirement,60,Yes
137,2829,2025-10-26,Termination,Company Restructuring,60,Yes
138,1206,2024-03-06,Resignation,Retirement,60,Yes
139,2383,2024-06-22,Resignation,Personal Reasons,60,Yes
140,2255,2025-10-19,Resignation,Personal Reasons,30,Yes
141,1030,2024-06-10,Resignation,Retirement,0,Yes
142,2195,2024-06-20,Resignation,Relocation,15,Yes
143,2968,2025-03-19,Resignation,End of Contract,90,Yes
144,796,2024-06-25,Resignation,Performance Issues,15,Yes
145,2901,2024-11-04,Resignation,End of Contract,15,Yes
146,2267,2024-12-18,Contract End,Performance Issues,15,Yes
147,421,2024-06-05,Termination,Better Career Opportunity,90,Yes
