leave_id,employee_id,leave_type,start_date,end_date,total_leave_days,leave_reason,approval_status,approved_by
1,2620,Annual Leave,2025-01-19,2025-01-19,1,Marriage,Approved,Gaurangi Seshadri
2,915,Sick Leave,2024-10-19,2024-10-20,2,Medical Treatment,Approved,Vincent Ganesan
3,2419,Emergency Leave,2025-06-19,2025-06-19,1,Marriage,Approved,Nilima Tripathi
4,953,Maternity Leave,2024-04-29,2024-05-08,10,Marriage,Approved,Ayushman Rastogi
5,2933,Paternity Leave,2025-08-28,2025-09-05,9,Higher Education,Approved,Ishita Das
6,2414,Casual Leave,2024-11-27,2024-11-27,1,Family Emergency,Approved,Pushti Memon
7,2860,Emergency Leave,2025-12-29,2026-01-03,6,Marriage,Approved,Azad Balasubramanian
8,1379,Annual Leave,2025-04-11,2025-04-12,2,Religious Festival,Approved,Tamanna Mammen
9,1409,Maternity Leave,2024-10-07,2024-10-11,5,Higher Education,Approved,Waida Sule
10,2197,Annual Leave,2024-07-27,2024-08-02,7,Personal Work,Approved,Alexander Pingle
11,2575,Maternity Leave,2025-04-24,2025-04-29,6,Medical Treatment,Approved,Theodore Patla
12,188,Paternity Leave,2025-12-17,2025-12-20,4,Medical Treatment,Approved,Rachit Ganesh
13,954,Unpaid Leave,2024-05-07,2024-05-08,2,Higher Education,Approved,Mitali Prakash
14,2604,Unpaid Leave,2025-09-29,2025-10-04,6,Religious Festival,Approved,Ayaan Dash
15,859,Paternity Leave,2024-02-22,2024-02-26,5,Medical Treatment,Approved,Zashil Misra
16,2496,Paternity Leave,2025-02-20,2025-02-22,3,Marriage,Approved,Eta Bali
17,670,Emergency Leave,2025-06-15,2025-06-21,7,Marriage,Approved,Omisha Sahota
18,2805,Casual Leave,2024-11-04,2024-11-04,1,Vacation,Approved,Aarav Brahmbhatt
19,1293,Emergency Leave,2024-10-18,2024-10-22,5,Religious Festival,Approved,Yash Kala
20,871,Paternity Leave,2025-07-08,2025-07-15,8,Higher Education,Approved,Daniel Narayanan
21,586,Casual Leave,2024-07-05,2024-07-07,3,Personal Work,Approved,Yahvi Balakrishnan
