review_id,employee_id,review_date,review_period,performance_rating,performance_category,goals_completed,manager_feedback,promotion_recommended
1,2620,2024-09-07,Q3,2.3,Poor,6,Good communication and collaboration.,Yes
2,420,2024-01-11,Q1,4.0,Exceeds Expectations,9,Excellent leadership and teamwork.,Yes
3,384,2024-10-30,Q1,2.7,Needs Improvement,6,Requires additional coaching.,Yes
4,1840,2025-10-08,Q1,3.8,Meets Expectations,5,Requires additional coaching.,No
5,1139,2025-04-22,Q3,2.5,Needs Improvement,4,Consistently exceeds expectations.,No
6,397,2024-10-28,Q3,3.1,Meets Expectations,7,Excellent leadership and teamwork.,No
7,2197,2024-03-15,Q4,2.4,Poor,4,Strong technical skills.,No
8,2365,2025-09-23,Q1,2.6,Needs Improvement,3,Good communication and collaboration.,No
9,327,2025-10-02,Q1,4.6,Outstanding,9,Strong technical skills.,No
10,2604,2024-02-24,Q2,4.5,Outstanding,8,Needs improvement in productivity.,Yes
11,2746,2025-10-16,Q1,2.8,Needs Improvement,5,Good communication and collaboration.,Yes
12,1894,2025-12-06,Q2,3.1,Meets Expectations,8,Excellent leadership and teamwork.,Yes
13,132,2025-09-06,Q4,4.4,Exceeds Expectations,7,Consistently exceeds expectations.,Yes
14,2324,2025-04-09,Q3,4.6,Outstanding,6,Demonstrates strong problem-solving skills.,No
15,2634,2024-04-25,Q3,3.4,Meets Expectations,5,Good communication and collaboration.,No
16,2395,2025-04-08,Q4,3.3,Meets Expectations,8,Good communication and collaboration.,Yes
17,2088,2025-05-11,Q1,3.5,Meets Expectations,4,Reliable and dependable employee.,Yes
18,2788,2025-06-26,Q1,3.3,Meets Expectations,9,Requires additional coaching.,No
19,2168,2025-04-15,Q1,2.8,Needs Improvement,4,Strong technical skills.,No
20,457,2025-11-16,Q2,2.9,Needs Improvement,10,Excellent leadership and teamwork.,No
21,2051,2024-03-17,Q1,4.3,Exceeds Expectations,7,Good communication and collaboration.,Yes
22,1532,2024-11-27,Q1,4.3,Exceeds Expectations,8,Demonstrates strong problem-solving skills.,Yes
23,459,2025-11-13,Q3,4.8,Outstanding,6,Excellent leadership and teamwork.,Yes
24,2324,2024-04-28,Q1,4.8,Outstanding,10,Consistently exceeds expectations.,Yes
25,526,2024-06-18,Q2,4.0,Exceeds Expectations,7,Requires additional coaching.,Yes
26,2209,2025-08-11,Q2,4.3,Exceeds Expectations,7,Requires additional coaching.,No
27,1795,2024-03-19,Q4,4.7,Outstanding,4,Good communication and collaboration.,Yes
28,263,2024-01-31,Q2,3.0,Meets Expectations,6,Excellent leadership and teamwork.,Yes
29,2900,2025-02-09,Q2,3.9,Meets Expectations,4,Excellent leadership and teamwork.,No
30,291,2025-12-12,Q3,3.5,Meets Expectations,10,Good communication and collaboration.,Yes
31,2963,2025-11-06,Q4,4.8,Outstanding,6,Demonstrates strong problem-solving skills.,No
32,780,2024-07-05,Q4,2.3,Poor,8,Requires additional coaching.,No
33,1913,2025-11-07,Q1,4.6,Outstanding,4,Excellent leadership and teamwork.,No
34,2983,2025-07-24,Q1,3.0,Meets Expectations,6,Good communication and collaboration.,Yes
35,2197,2024-10-03,Q4,3.3,Meets Expectations,5,Strong technical skills.,No
36,1024,2025-04-27,Q1,4.6,Outstanding,10,Consistently exceeds expectations.,Yes
37,2672,2025-01-17,Q1,5.0,Outstanding,4,Good communication and collaboration.,Yes
38,1665,2025-08-14,Q2,3.5,Meets Expectations,9,Excellent leadership and teamwork.,Yes
39,1553,2024-12-01,Q4,2.0,Poor,7,Demonstrates strong problem-solving skills.,No
40,1733,2024-02-17,Q4,4.1,Exceeds Expectations,5,Good communication and collaboration.,No
41,892,2025-06-22,Q1,4.9,Outstanding,8,Excellent leadership and teamwork.,Yes
42,2393,2024-05-01,Q2,3.4,Meets Expectations,3,Consistently exceeds expectations.,Yes
43,281,2025-08-10,Q2,3.8,Meets Expectations,9,Consistently exceeds expectations.,Yes
44,2372,2024-11-01,Q1,3.8,Meets Expectations,9,Needs improvement in productivity.,No
45,837,2025-07-04,Q3,4.0,Exceeds Expectations,6,Strong technical skills.,No
46,537,2024-06-04,Q3,4.0,Exceeds Expectations,10,Needs improvement in productivity.,Yes
47,39,2024-09-04,Q1,3.4,Meets Expectations,4,Good communication and collaboration.,No
