promotion_id,employee_id,promotion_date,old_designation,new_designation,salary_increment_percent,promotion_reason
1,103,2024-05-05,Associate,Executive,20.61,Annual Promotion
2,420,2025-08-24,Executive,Senior Executive,19.5,Business Requirement
3,1729,2025-04-12,Junior Executive,Manager,8.54,Outstanding Performance
4,2070,2024-11-25,Executive,Senior Executive,18.23,Business Requirement
5,2662,2024-06-16,Executive,Senior Manager,19.92,Role Expansion
6,2414,2024-03-09,Executive,Assistant Manager,12.73,Outstanding Performance
7,654,2025-10-26,Assistant Manager,Team Lead,19.87,Leadership Development
8,1379,2024-09-15,Senior Executive,Team Lead,9.74,Role Expansion
9,1409,2025-02-04,Junior Executive,Lead Analyst,18.26,Outstanding Performance
10,2197,2024-01-08,Associate,Assistant Manager,10.12,Role Expansion
11,1201,2025-01-24,Junior Executive,Manager,22.1,Business Requirement
12,2365,2025-01-04,Assistant Manager,Lead Analyst,11.27,Outstanding Performance
13,934,2024-08-10,Junior Executive,Senior Manager,21.14,Outstanding Performance
14,414,2024-05-31,Assistant Manager,Senior Executive,14.46,Role Expansion
15,1495,2024-04-06,Associate,Team Lead,10.77,Leadership Development
16,1094,2024-01-27,Executive,Senior Manager,19.93,Outstanding Performance
17,701,2025-04-19,Senior Analyst,Senior Manager,17.08,Annual Promotion
18,1555,2024-03-29,Executive,Assistant Manager,12.59,Business Requirement
19,1329,2025-07-31,Executive,Senior Manager,22.33,Outstanding Performance
20,132,2025-07-16,Executive,Team Lead,21.69,Role Expansion
21,865,2025-01-29,Senior Executive,Executive,23.52,Business Requirement
22,871,2025-11-15,Associate,Lead Analyst,19.14,Role Expansion
23,586,2024-02-10,Associate,Assistant Manager,12.5,Annual Promotion
24,2208,2024-06-30,Associate,Manager,12.47,Business Requirement
25,1636,2025-04-20,Analyst,Manager,14.15,Annual Promotion
26,373,2024-03-26,Senior Analyst,Assistant Manager,20.85,Outstanding Performance
27,656,2024-11-12,Executive,Senior Manager,21.47,Role Expansion
28,1577,2024-10-12,Senior Analyst,Executive,14.49,Role Expansion
29,2267,2024-04-21,Senior Analyst,Lead Analyst,22.63,Outstanding Performance
30,470,2024-01-31,Associate,Senior Manager,19.59,Business Requirement
31,2626,2025-09-10,Assistant Manager,Lead Analyst,13.78,Leadership Development
32,1859,2024-08-09,Analyst,Senior Executive,8.06,Leadership Development
33,732,2024-07-07,Senior Analyst,Team Lead,16.63,Outstanding Performance
34,1223,2024-01-19,Assistant Manager,Senior Manager,22.31,Business Requirement
35,627,2025-09-26,Senior Analyst,Senior Executive,14.36,Annual Promotion
36,2173,2025-07-03,Senior Analyst,Team Lead,23.61,Business Requirement
37,80,2025-03-05,Senior Executive,Assistant Manager,9.9,Leadership Development
38,1260,2024-05-08,Assistant Manager,Team Lead,12.07,Annual Promotion
39,351,2025-10-06,Senior Analyst,Executive,20.44,Outstanding Performance
40,516,2024-09-04,Assistant Manager,Manager,10.18,Role Expansion
41,1086,2024-06-16,Senior Analyst,Senior Executive,16.97,Business Requirement
42,2209,2025-07-01,Analyst,Senior Executive,20.84,Annual Promotion
43,1635,2024-07-24,Associate,Lead Analyst,24.92,Leadership Development
44,1850,2024-02-15,Analyst,Manager,10.06,Annual Promotion
