salary_id,employee_id,effective_date,previous_salary,new_salary,increment_percent,change_reason
1,2620,2025-09-17,483478,500061.3,3.43,Market Adjustment
2,1004,2025-09-19,718106,756668.29,5.37,Annual Increment
3,2772,2024-12-07,1393716,1456154.48,4.48,Performance Bonus
4,131,2025-07-25,312489,326832.25,4.59,Promotion
5,2070,2024-01-01,1512524,1564706.08,3.45,Promotion
6,2933,2025-05-25,1612906,1853551.58,14.92,Performance Bonus
7,903,2024-08-30,1192059,1347265.08,13.02,Annual Increment
8,654,2024-07-05,1714104,1888599.79,10.18,Market Adjustment
9,637,2025-03-16,701545,836732.72,19.27,Market Adjustment
10,419,2024-03-06,444502,486551.89,9.46,Market Adjustment
11,1409,2024-12-09,1516105,1629812.88,7.5,Annual Increment
12,2989,2025-10-30,1213483,1360557.14,12.12,Performance Bonus
13,323,2025-02-24,1407713,1520048.5,7.98,Salary Revision
14,1482,2025-07-17,1460795,1552386.85,6.27,Annual Increment
15,188,2025-11-11,1636769,1749215.03,6.87,Market Adjustment
16,327,2024-07-05,738197,869079.33,17.73,Performance Bonus
17,1139,2024-08-09,1200870,1366710.15,13.81,Market Adjustment
18,667,2025-06-03,1026325,1119104.78,9.04,Market Adjustment
19,2875,2024-04-10,1683503,1919530.12,14.02,Salary Revision
20,2601,2024-04-27,608903,682458.48,12.08,Promotion
21,670,2025-09-10,1219429,1334665.04,9.45,Salary Revision
22,900,2024-01-04,1685740,1829196.47,8.51,Annual Increment
23,939,2025-10-14,317319,370279.54,16.69,Performance Bonus
24,1097,2024-03-10,388807,414429.38,6.59,Salary Revision
25,2941,2024-06-09,909927,970073.17,6.61,Performance Bonus
26,1621,2024-04-22,1598158,1770759.06,10.8,Market Adjustment
27,572,2025-06-04,767215,887360.87,15.66,Salary Revision
28,1077,2024-12-27,1475965,1627694.2,10.28,Salary Revision
29,1636,2024-09-01,1009161,1077077.54,6.73,Promotion
30,2088,2025-05-26,1284977,1343443.45,4.55,Annual Increment
31,450,2025-08-18,570531,648522.59,13.67,Performance Bonus
32,2443,2024-10-11,383227,419786.86,9.54,Salary Revision
33,1918,2025-05-04,1359633,1458478.32,7.27,Salary Revision
34,48,2025-11-02,1676657,1932347.19,15.25,Salary Revision
35,1093,2025-03-23,1594194,1734164.23,8.78,Market Adjustment
36,1781,2024-03-20,581680,643977.93,10.71,Market Adjustment
37,2051,2024-11-27,624660,697307.96,11.63,Annual Increment
38,2562,2025-10-13,875884,1027499.52,17.31,Salary Revision
39,2495,2024-01-14,667146,704506.18,5.6,Promotion
40,2210,2025-01-21,1362232,1615743.38,18.61,Salary Revision
41,1328,2025-03-31,1274680,1317126.84,3.33,Market Adjustment
42,1260,2025-01-20,752167,782103.25,3.98,Salary Revision
43,323,2024-06-05,429628,495962.56,15.44,Annual Increment
44,2182,2024-11-26,513738,540349.63,5.18,Performance Bonus
45,2252,2024-09-26,596296,641077.83,7.51,Salary Revision
46,1734,2025-01-04,694173,824608.11,18.79,Promotion
47,2921,2024-03-24,903716,992099.42,9.78,Market Adjustment
48,1795,2025-09-24,1335435,1478059.46,10.68,Promotion
49,921,2024-02-03,384272,417895.8,8.75,Salary Revision
50,2269,2025-01-26,732585,827821.05,13.0,Annual Increment
51,291,2024-05-04,1734450,1972589.98,13.73,Promotion
52,277,2025-01-14,315877,371502.94,17.61,Annual Increment
53,2106,2025-08-16,749131,807038.83,7.73,Performance Bonus
54,878,2024-09-16,1380855,1453349.89,5.25,Salary Revision
55,2361,2025-11-17,1241262,1329763.98,7.13,Performance Bonus
56,1668,2024-07-03,649318,679186.63,4.6,Performance Bonus
57,1452,2024-11-15,1138308,1252024.97,9.99,Annual Increment
