program_id,program_name,training_type,trainer,duration_hours,delivery_mode,cost_per_employee
1,SQL for Business,Technical,IBM,8,Online,5572
2,SQL for Business,Technical,Udemy Business,4,Online,4070
3,Project Management,Soft Skills,Internal Trainer,24,Online,24462
4,Digital Marketing,Leadership,Google,16,Hybrid,10115
5,Leadership Development,Soft Skills,Udemy Business,12,Offline,6094
6,Project Management,Compliance,External Consultant,4,Offline,4169
7,Financial Analysis,Compliance,IBM,4,Hybrid,16054
8,Digital Marketing,Technical,Udemy Business,4,Hybrid,10606
9,Risk Management,Compliance,Google,40,Online,2501
10,Cyber Security Awareness,Compliance,External Consultant,8,Online,13455
11,Time Management,Leadership,Oracle,8,Offline,12641
12,Project Management,Compliance,External Consultant,24,Hybrid,6607
13,Digital Marketing,Soft Skills,Microsoft,16,Offline,9845
14,Digital Marketing,Soft Skills,Oracle,4,Online,2051
15,Customer Service,Leadership,IBM,4,Online,19585
16,Customer Service,Soft Skills,Coursera,16,Hybrid,16035
17,Python Programming,Compliance,Microsoft,8,Hybrid,19394
18,Digital Marketing,Compliance,Udemy Business,24,Offline,12861
19,Cyber Security Awareness,Soft Skills,Coursera,4,Online,4592
20,Python Programming,Soft Skills,Udemy Business,24,Online,13608
21,Machine Learning Basics,Leadership,IBM,24,Online,23291
22,SQL for Business,Compliance,Oracle,4,Offline,15246
23,Communication Skills,Leadership,Internal Trainer,40,Hybrid,9630
24,Sales Excellence,Soft Skills,External Consultant,40,Offline,21937
25,Sales Excellence,Soft Skills,Microsoft,12,Online,18674
26,Sales Excellence,Technical,Oracle,16,Online,4665
27,Financial Analysis,Compliance,Google,4,Online,19591
28,Power BI Fundamentals,Technical,Coursera,4,Hybrid,5120
29,Python Programming,Leadership,Microsoft,12,Hybrid,20876
30,Cloud Computing,Soft Skills,Google,40,Offline,14074
31,Financial Analysis,Leadership,Coursera,4,Online,8362
32,Power BI Fundamentals,Compliance,Internal Trainer,24,Hybrid,8540
33,Conflict Resolution,Soft Skills,Internal Trainer,4,Hybrid,21679
34,Advanced Excel,Soft Skills,External Consultant,4,Offline,3321
35,Sales Excellence,Soft Skills,IBM,40,Offline,8020
36,Digital Marketing,Soft Skills,Coursera,8,Offline,14338
37,Project Management,Technical,External Consultant,40,Offline,12609
38,Cloud Computing,Leadership,Coursera,40,Online,23064
39,SQL for Business,Technical,Udemy Business,40,Offline,4580
40,Cyber Security Awareness,Soft Skills,Google,24,Offline,5593
41,Cloud Computing,Soft Skills,IBM,16,Online,3470
