training_id,employee_id,program_id,training_date,completion_status,score,certification_status
1,1127,32,2024-02-04,Completed,61.0,No
2,2772,95,2025-11-24,Completed,66.0,No
3,357,76,2024-03-14,In Progress,,No
4,384,28,2024-03-19,Completed,61.0,No
5,109,72,2025-07-09,Completed,98.0,Yes
6,1719,29,2025-10-02,Completed,94.0,Yes
7,27,98,2024-03-14,Completed,77.0,Yes
8,2860,55,2025-11-16,In Progress,,No
9,882,98,2025-11-25,Completed,69.0,No
10,1557,13,2025-10-05,Completed,65.0,No
11,2473,34,2025-04-19,Completed,82.0,Yes
12,2989,59,2025-05-03,In Progress,,No
13,323,71,2025-10-19,Completed,84.0,Yes
14,2534,47,2025-03-10,Completed,100.0,Yes
15,188,85,2024-06-22,Completed,64.0,No
16,327,30,2024-11-04,Completed,78.0,Yes
17,1557,36,2024-02-13,In Progress,,No
18,667,48,2025-05-06,Completed,83.0,Yes
19,2875,88,2024-12-30,Completed,77.0,Yes
20,2601,22,2024-09-23,Completed,98.0,Yes
21,670,60,2024-06-15,Completed,75.0,Yes
22,2819,72,2024-02-16,Completed,100.0,Yes
23,230,30,2025-09-10,Completed,80.0,Yes
24,1293,52,2025-11-10,In Progress,,No
25,2324,92,2024-02-27,Completed,73.0,No
26,1621,83,2025-08-22,Completed,91.0,Yes
27,572,32,2024-01-03,Completed,76.0,Yes
28,1077,96,2025-10-11,Completed,94.0,Yes
29,1636,47,2025-07-11,Completed,97.0,Yes
30,2088,64,2025-12-30,Completed,68.0,No
31,450,20,2024-07-17,Completed,63.0,No
32,2443,9,2024-03-13,Completed,87.0,Yes
33,1918,68,2025-10-07,Completed,98.0,Yes
34,48,88,2024-01-03,Completed,95.0,Yes
35,1093,99,2024-12-23,Completed,94.0,Yes
36,1203,56,2024-03-13,Completed,67.0,No
37,2958,93,2025-07-05,Completed,60.0,No
38,732,65,2025-05-28,Completed,92.0,Yes
39,2562,39,2025-06-09,In Progress,,No
40,2080,78,2024-04-20,In Progress,,No
41,662,70,2024-10-03,Completed,83.0,Yes
42,2173,1,2024-04-14,Not Completed,,No
43,80,15,2025-07-18,Completed,91.0,Yes
44,1260,31,2025-04-19,In Progress,,No
45,323,11,2025-12-22,Completed,96.0,Yes
46,2182,99,2024-07-01,Completed,64.0,No
47,2252,22,2024-05-02,Completed,90.0,Yes
48,1734,28,2024-11-06,Completed,98.0,Yes
49,2990,89,2025-08-31,In Progress,,No
50,1635,86,2025-10-19,Completed,79.0,Yes
51,2120,58,2024-04-11,Completed,88.0,Yes
52,263,44,2025-01-26,Completed,74.0,No
53,943,76,2024-02-17,Completed,95.0,Yes
54,2900,81,2025-08-06,Completed,64.0,No
55,129,43,2024-12-16,Completed,64.0,No
56,1141,86,2025-05-10,Completed,75.0,Yes
57,542,93,2025-01-17,Completed,94.0,Yes
58,2339,74,2025-09-27,In Progress,,No
59,1668,25,2024-04-25,Completed,90.0,Yes
60,1452,55,2025-10-17,Completed,87.0,Yes
61,2759,84,2025-03-10,Completed,63.0,No
62,404,8,2025-05-15,Not Completed,,No
63,448,32,2025-08-31,Completed,81.0,Yes
64,1838,18,2025-07-22,Completed,94.0,Yes
65,1895,32,2025-02-06,Completed,77.0,Yes
66,309,57,2024-06-17,In Progress,,No
67,2255,13,2024-11-19,In Progress,,No
68,61,12,2024-03-01,Completed,94.0,Yes
69,969,22,2025-11-15,In Progress,,No
70,876,52,2025-05-27,Completed,90.0,Yes
71,675,49,2025-03-20,In Progress,,No
72,1087,59,2024-07-16,Completed,84.0,Yes
73,2712,92,2024-04-18,Completed,95.0,Yes
74,1216,28,2025-06-06,Completed,72.0,No
75,2373,95,2025-10-30,Not Completed,,No
76,235,7,2024-06-07,Completed,80.0,Yes
77,2176,21,2025-10-06,Completed,92.0,Yes
78,329,24,2024-03-07,Completed,92.0,Yes
79,2766,31,2025-11-20,Completed,64.0,No
80,1009,75,2025-09-10,Completed,96.0,Yes
81,336,54,2024-01-22,Completed,99.0,Yes
82,2142,41,2024-02-18,Completed,96.0,Yes
83,837,86,2024-09-23,In Progress,,No
84,1088,51,2025-07-04,Completed,75.0,Yes
85,1873,41,2024-09-15,Completed,79.0,Yes
86,298,2,2024-02-14,In Progress,,No
87,410,10,2024-12-18,Completed,96.0,Yes
88,1087,17,2025-06-27,Completed,92.0,Yes
89,282,32,2025-11-09,In Progress,,No
90,1795,70,2025-11-20,Completed,70.0,No
91,2679,68,2024-10-31,Completed,99.0,Yes
92,1227,85,2024-02-25,Completed,95.0,Yes
93,1084,15,2024-06-07,Completed,68.0,No
94,2267,20,2025-05-24,In Progress,,No
95,863,92,2024-10-19,Completed,98.0,Yes
96,1082,65,2025-02-02,Completed,100.0,Yes
97,379,82,2024-06-30,Completed,63.0,No
98,181,1,2024-09-11,Completed,77.0,Yes
99,2610,34,2024-04-01,Completed,68.0,No
100,2260,91,2024-05-24,Completed,88.0,Yes
101,459,10,2024-06-27,Completed,60.0,No
102,2831,20,2024-09-04,In Progress,,No
103,2386,71,2024-08-24,Completed,83.0,Yes
104,172,40,2025-09-11,Completed,68.0,No
105,1466,27,2024-07-08,Completed,62.0,No
106,1449,100,2025-10-28,Completed,66.0,No
107,2543,96,2024-02-19,Completed,86.0,Yes
108,666,23,2024-06-27,Completed,75.0,Yes
109,102,23,2025-01-30,In Progress,,No
110,1687,86,2025-05-19,Completed,81.0,Yes
111,1017,35,2025-07-29,In Progress,,No
112,1567,5,2024-12-10,Completed,66.0,No
113,912,26,2025-03-23,In Progress,,No
114,1886,45,2024-10-23,In Progress,,No
115,914,4,2024-02-05,Completed,74.0,No
116,1345,36,2024-07-27,Completed,85.0,Yes
117,1144,45,2025-08-01,In Progress,,No
118,2784,69,2024-06-29,Completed,85.0,Yes
119,473,34,2025-01-07,Completed,61.0,No
120,157,14,2025-09-27,Completed,76.0,Yes
121,2985,41,2024-02-02,Completed,82.0,Yes
122,474,50,2024-05-14,Completed,92.0,Yes
123,779,33,2024-02-23,In Progress,,No
124,7,67,2024-05-02,Completed,87.0,Yes
125,2206,88,2025-09-24,In Progress,,No
126,1492,56,2025-08-09,Completed,72.0,No
